uid, timestamp, type, left army, right army, towers, gold lost
cgs_4de5259531fe7, 0, 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 14 14 14 14 14 14 14 14 14 14 14 14, 7 7 7 7 7 7 7 7 7 7 7 5 5 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 10 10 10 10 10 10 10 10 10 10 10 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14, -1 11 0 -1 24 8 -1 22 8 -1 27 13 -1 23 8 -1 11 3 -1 8 8 -1 2 10 -1 29 10 -1 9 8 -1 4 10 -1 7 8 -1 25 12 -1 27 10 -1 7 16 -1 7 12 -1 7 14 -1 25 16 -1 25 14 -1 10 8 -1 20 8 -1 11 6 -1 20 4 -1 20 0 -1 10 5 -1 21 7 -1 21 3 -1 21 0 -1 22 1 -1 22 5 -1 10 1 -1 9 3 -1 23 5 -1 23 2 -1 23 3 -1 23 6 -1 8 4 -1 9 7 -1 8 5 -1 8 2 -1 23 1 -1 9 6 -1 23 4 , 29135, friend
cgs_4de5284dc070a, 0, request, 4 8 1018 3 10 4 3 8 1 16 12 1018 1 1 13 7 8 5 3 15 2 14 14 7 1018 13 11 1 1 11 12 16 1 7 4 7 9 5 4 4 5 5 7 14 3 4 5 4 14 14 4 1017 11 4 5 1017 9 9 16 3 17 9 1018 16 16 7 1017 13 12 2 2 16 1018 4 9 4 9 4 16 4 1, -1 8 8 -1 23 8 -1 6 10 -1 24 10 -1 5 12 -1 5 14 -1 25 12 -1 25 14 -1 4 2 -1 4 5 -1 11 0 -1 11 3 -1 11 6 -1 20 6 -1 5 3 -1 3 2 -1 3 3 -1 3 5 -1 3 6 -1 4 13 -1 4 12 -1 4 14 -1 4 15 -1 27 12 -1 27 13 -1 27 14 -1 27 15 -1 21 15 -1 10 15 -1 8 16 -1 9 13 -1 23 13 -1 23 16 -1 9 8 -1 22 8 -1 3 10 -1 28 10 -1 2 11 -1 5 11 -1 26 11 -1 29 11 -1 10 11 -1 11 11 -1 20 11 -1 21 11 -1 4 10 -1 27 10 , 390, 12 13 8 9 10 4 3 11 8 2 4 1018 2 1017 7 8 2 16 15 1017 1018 13 1 16 2 1018 8 8 9 10 14 1017 8 10 9 1018 8 5 1018 1017 9 8 1 1018 1 13 11 1018 16 5 8 9 10 1 3 1018 1 5 13 3 1018 13 4 7 11 12 10 10 16 7 14 2 1017 16
cgs_4de5284dc070a, 0, friend, 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5, -1 8 8 -1 23 8 -1 6 10 -1 24 10 -1 5 12 -1 5 14 -1 25 12 -1 25 14 -1 4 2 -1 4 5 -1 27 2 -1 27 5 -1 11 0 -1 11 3 -1 11 6 -1 20 3 -1 20 0 -1 20 6 -1 5 3 -1 25 3 -1 3 2 -1 3 3 -1 3 5 -1 3 6 -1 28 6 -1 28 5 -1 28 3 -1 28 2 -1 4 13 -1 4 12 -1 4 14 -1 4 15 -1 27 12 -1 27 13 -1 27 14 -1 27 15 -1 21 15 -1 10 15 -1 8 16 -1 9 13 -1 23 13 -1 23 16 -1 9 8 -1 22 8 -1 3 10 -1 28 10 -1 2 11 -1 5 11 -1 26 11 -1 29 11 -1 10 11 -1 11 11 -1 20 11 -1 21 11 -1 4 10 -1 27 10 , 600, 17 17 17 17 17 17 17 17 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 10 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
cgs_4de47f0e2ed82, 0, 1 2 1 1 2 2 2 1, -1 21 9 -1 9 9 -1 7 11 -1 23 11 , 1 1 1 1 2, request, 0
cgs_4de294c165ca0, 0, 25421, 2 8 9 15 13 15 15 12 1017 7 12 3 17 2 3 1 8 8 13 4 13 2 13 1 3 14 15 8 15 10 2 3 13 10 10 17 4 10 12 10 15 1 14 8 5 1017 5 4 17 5 9 1017 12 9 2 4 13 4 14 7 1017 12 1017 1017 13 4 8 4 8 10 1017 17 15 1017 1 3 2 1, -1 25 12 -1 25 14 -1 11 0 -1 20 0 -1 11 3 -1 20 3 -1 21 2 -1 21 5 -1 5 12 -1 5 14 -1 27 15 -1 4 15 -1 23 8 -1 10 5 -1 4 13 -1 27 13 -1 10 2 -1 11 8 -1 10 8 -1 21 8 -1 20 8 -1 8 10 -1 22 4 -1 22 6 -1 9 6 -1 8 2 -1 22 10 -1 8 4 -1 24 11 -1 23 6 -1 22 2 -1 7 11 -1 7 6 -1 7 8 -1 22 0 -1 6 11 -1 25 11 -1 8 0 , request, 9 3 4 4 8 7 11 4 17 4 15 15 14 4 12 17 14 2 8 15 3 14 14 4 10 13 1 7 4 5 1017 7 1 9 7 14 7 16 7 7 1 1017 4 1 17 8 14 1 3 1017 3 2 14 15 1017 5 12 2 17 9 9 4 14 3 5 13 14 2 9 2 1017 13 11 13 2 12 13 16 15 1 11 5 1017 1017 17 5 13
cgs_4de294c165ca0, 0, 15 8 11 1017 1017 1 7 7 17 5 2 15 13 7 2 11 10 9 17 2 15 3 2 2 7 14 8 14 5 7 10 14 3 1017 7 1017 1 14 8 15 12 9 13 10 14 5 1017 8 17 4 2 14 1017 1 17 12 17 4 15 3 14 12 8 14 15 1017 1017 7 16 13 11 7 9 15 16 14 14 5 9 2 12, -1 25 12 -1 25 14 -1 11 3 -1 11 0 -1 20 0 -1 20 6 -1 11 6 -1 20 3 -1 21 2 -1 10 5 -1 21 5 -1 22 6 -1 5 12 -1 5 14 -1 27 15 -1 27 13 -1 4 13 -1 4 15 -1 10 10 -1 8 6 -1 8 8 -1 22 4 -1 22 2 -1 22 8 -1 22 10 -1 20 10 -1 10 2 -1 8 4 -1 8 2 -1 22 0 -1 8 10 -1 6 10 -1 24 10 -1 8 0 -1 5 11 -1 26 11 , 8 15 12 5 10 2 7 4 1 2 11 3 4 8 13 8 12 8 9 1 8 10 10 5 5 2 1 8 14 9 5 3 17 10 8 1 7 1017 4 5 3 10 2 12 4 17 15 17 1017 13 5 5 13 10 2 12 1 5 14 5 15 10 7 15 11 8 12 3 1 1017 4 4 15 8 12 17 10 13 9 4 15 9 4, request, 1447
cgs_4de294c165ca0, 0, 1017 13 2 13 9 9 1017 15 12 3 10 7 5 5 14 2 5 11 1017 9 14 10 15 13 16 10 14 4 13 2 3 4 15 16 1017 8 3 4 2 10 5 4 4 2 10 5 4 10 10 15 7 14 7 1017 7 17 7 5 2 7 12 9 1017 5 13 8 7 2 14 14 1 10 17 14 16 4 9 8 14 1 5, -1 2 10 -1 25 12 -1 25 14 -1 11 3 -1 11 0 -1 20 0 -1 20 6 -1 11 6 -1 20 3 -1 21 2 -1 10 5 -1 21 5 -1 22 6 -1 5 12 -1 5 14 -1 27 15 -1 27 13 -1 4 13 -1 4 15 -1 4 10 -1 6 10 -1 24 10 -1 10 2 -1 8 6 -1 8 8 -1 8 4 -1 8 2 -1 22 4 -1 22 2 -1 22 0 -1 22 8 -1 5 16 -1 8 0 , 7 15 15 15 9 11 5 14 13 7 4 13 17 17 1 7 17 17 1017 16 9 13 13 17 9 2 4 14 2 1 10 4 5 12 12 9 10 3 15 14 1 8 1 9 1017 10 16 12 10 1 5 1 17 16 7 4 8 1 12 14 1 4 14 11 7 3 8 1 17 11 1017 10 17 10 14 3 2 3 17 13 5 11 1 12, request, 674
cgs_4de32b905802d, 0, 1 1 12 5 13 12 7 16 14 3 8 5 16 15 3 13 2 5 15 1 17 2 2 17 4 7 5 9 13 7 2 7 3 1 12 2 12 12, -1 27 9 -1 26 9 -1 4 9 -1 5 9 -1 6 8 -1 25 8 -1 24 8 -1 7 8 -1 2 12 -1 2 14 -1 2 16 -1 29 12 -1 29 14 -1 29 16 -1 8 8 -1 28 15 -1 23 8 -1 5 4 -1 23 0 -1 2 11 -1 28 11 -1 29 11 -1 7 0 -1 23 4 -1 3 11 , 1 8 17 12 3 12 12 12 13 3 12 7 8 16 4 9 3 3 2 1 8 16 2 2 16 15 4 16 9 9 8 8 13 17 4 17 14, 228, request
cgs_4de32b905802d, 0, 1 1 12 5 13 12 7 16 14 3 8 5 16 15 3 13 2 5 15 1 17 2 2 17 4 7 5 9 13 7 2 7 3 1 12 2 12 12, -1 27 9 -1 26 9 -1 4 9 -1 5 9 -1 6 8 -1 25 8 -1 24 8 -1 7 8 -1 2 12 -1 2 14 -1 2 16 -1 29 12 -1 29 14 -1 29 16 -1 8 8 -1 28 15 -1 3 13 -1 23 8 -1 5 4 -1 23 0 -1 3 11 -1 2 11 -1 28 11 -1 29 11 -1 7 0 -1 24 4 , 1 8 17 12 3 12 12 12 13 3 12 7 8 16 4 9 3 3 2 1 8 16 2 2 16 15 4 16 9 9 8 8 13 17 4 17 14, 326, request
cgs_4de32b905802d, 0, 3 13 14 9 12 3 16 12 13 12 7 5 1 16 1 15 16 13 5 7 12 3 7 12 17 3 5 16 9 13, -1 2 11 -1 3 11 -1 29 11 -1 28 11 -1 27 9 -1 26 9 -1 4 9 -1 5 9 -1 6 8 -1 25 8 -1 24 8 -1 7 8 -1 2 12 -1 2 14 -1 2 16 -1 29 12 -1 29 14 -1 29 16 -1 28 1 -1 28 5 -1 2 6 -1 2 1 -1 28 17 -1 3 17 -1 3 15 -1 3 13 -1 28 13 -1 28 15 -1 8 8 , 12 16 2 2 2 3 4 7 2 17 5 1 1 9 16 7 15 9 9 5 13 8 7 12 15 13 7 12 9 7 7 16 15 13 1 17 17 4 13 3, 80, request
cgs_4de294c165ca0, 0, 5 15 3 3 14 4 10 9 2 5 16 13 2 9 15 15 9 14 12 7 9 17 1017 4 12 4 4 3 2 4 1 9 1017 17 11 4 9 17 9 10 12 15 7 7 12 13 3 12 17 15 2 8 15, -1 2 10 -1 4 10 -1 25 12 -1 25 14 -1 11 3 -1 11 0 -1 20 0 -1 20 6 -1 11 6 -1 20 3 -1 21 2 -1 10 2 -1 10 5 -1 21 5 -1 8 6 -1 22 6 -1 5 12 -1 5 14 -1 27 15 -1 27 13 -1 4 13 -1 4 15 -1 22 2 -1 9 0 -1 8 4 -1 22 4 -1 8 2 , 17 7 7 7 8 2 17 17 17 8 7 12 7 14 13 4 1017 12 2 11 13 2 3 12 12 1017 1 7 8 9 4 9 5 1 9 1 2 9 7 17 4 1 1 7 14 14 13 9 7 10 13 8 10 8 7 9 17 17 12 5 1017 13 13 14 10 5 1 9 4 10, request, 1008
cgs_4de294c165ca0, 0, 5 15 3 3 14 4 10 9 2 5 16 13 2 9 15 15 9 14 12 7 9 17 1017 4 12 4 4 3 2 4 1 9 1017 17 11 4 9 17 9 10 12 15 7 7 12 13 3 12 17 15 2 8 15, -1 28 10 -1 2 10 -1 4 10 -1 27 10 -1 25 12 -1 25 14 -1 11 3 -1 11 0 -1 20 0 -1 20 6 -1 11 6 -1 20 3 -1 21 2 -1 10 2 -1 10 5 -1 21 5 -1 8 6 -1 22 6 -1 5 12 -1 5 14 -1 27 15 -1 27 13 -1 4 13 -1 4 15 -1 22 2 -1 9 0 -1 8 4 -1 22 4 -1 8 2 , 17 7 7 7 8 2 17 17 17 8 7 12 7 14 13 4 1017 12 2 11 13 2 3 12 12 1017 1 7 8 9 4 9 5 1 9 1 2 9 7 17 4 1 1 7 14 14 13 9 7 10 13 8 10 8 7 9 17 17 12 5 1017 13 13 14 10 5 1 9 4 10, request, 1441
cgs_4de294c165ca0, 0, 3 10 9 3 11 3 15 15 5 7 17 2 9 13 11 12 17 3 16 1017 3 5 17 13 15 1 10 14 13 14 15 8 14 7 10 9 4 4 1017 15 9 7 13 15 1017 16 1 14 5 13 17 12, -1 28 10 -1 2 10 -1 4 10 -1 27 10 -1 26 13 -1 4 15 -1 26 15 -1 11 3 -1 11 0 -1 20 0 -1 20 6 -1 11 6 -1 20 3 -1 21 2 -1 10 2 -1 10 5 -1 21 5 -1 8 6 -1 22 6 -1 8 4 -1 22 4 -1 22 2 -1 8 2 -1 9 0 , 2 1 3 13 14 7 13 15 10 17 2 8 10 1017 14 8 5 5 2 1 16 4 4 3 9 7 17 1 10 15 4 1 4 2 3 17 1 17 8 9 12 9 15 14 9 9 1 5 1 7 13 1 16 7 2 3 14 2 12 4 9 17 7, request, 660
cgs_4de28d2029715, 0, request, 1 2 1 1 2 15 8 1 8 2 15 15 3 3 2 1 1, 1 8 3 3 3 15 3 2 1 15 2, -1 3 9 -1 28 9 -1 2 10 -1 29 10 -1 2 14 -1 29 14 -1 2 15 -1 29 15 -1 29 13 -1 2 13 , 29
cgs_4de28d2029715, 0, request, 1 2 1 1 2 15 8 1 8 2 15 15 3 3 2 1 1, 1 8 3 3 3 15 3 2 1 15 2, -1 3 9 -1 28 9 -1 4 9 -1 2 10 -1 29 10 -1 27 9 -1 2 14 -1 29 14 , 62
cgs_4de28d2029715, 0, request, 2 2 1 2 2 1, 1 1 1 2 1 1, -1 28 9 -1 3 9 -1 2 11 -1 29 11 , 0
cgs_4de1d39089892, 0, 54, -1 21 14 -1 10 14 -1 21 9 -1 10 9 -1 11 10 -1 20 10 -1 8 11 -1 23 11 -1 24 11 -1 6 11 -1 28 11 -1 9 9 -1 22 9 , 4 1 8 4 1 8 4 7 1 7 7 3 1 7 4 1 15 1, request, 1 7 4 15 1 7 7 1 4 4 8 7 1 1 4 7 2 15 2
cgs_4de1d39089892, 0, 77, -1 11 9 -1 20 9 -1 9 10 -1 10 9 -1 21 9 -1 22 10 -1 21 14 -1 23 11 -1 8 11 -1 10 14 -1 21 16 , 4 1 8 4 1 8 4 7 1 7 7 3 1 7 4 1 15 1, request, 1 7 4 15 1 7 7 1 4 4 8 7 1 1 4 7 2 15 2
cgs_4de1d39089892, 0, 1, -1 11 9 -1 10 9 -1 9 11 -1 20 10 -1 21 10 -1 22 11 , 1 1 2 8 3 1 2 3 1 1 8 1, request, 8 2 2 2 2 1 2 1 1 8
cgs_4de1d39089892, 0, 2, -1 20 9 -1 11 9 -1 10 9 -1 21 10 -1 9 11 -1 8 11 -1 22 11 , 1 1 2 8 3 1 2 3 1 1 8 1, request, 8 2 2 2 2 1 2 1 1 8
cgs_4de1d4f52e497, 0, 0, -1 11 9 -1 20 9 -1 5 11 -1 26 11 , 1 1 2 2 1 2, request, 2 2 1 2 2 2
cgs_4de1d4f52e497, 0, 0, -1 21 11 -1 22 11 -1 10 11 -1 11 9 -1 9 11 , 1 1 2 2 1 2, request, 2 2 1 2 2 2
cgs_4de1d4ba58ff9, 0, -1 20 11 -1 11 11 -1 10 11 -1 21 11 -1 9 9 , 2 2 2 1 2 2, 0, request, 2 1 2 2 1 1 1
cgs_4de1d4ba58ff9, 0, , 2 2 2 1 2 2, 0, request, 2 1 2 2 1 1 1
cgs_4de1d39089892, 0, 0, -1 20 9 -1 11 9 -1 23 11 -1 8 11 , 2 2 1 1 1, request, 2 1 1 1 2 1 1
cgs_4de1592bc24b5, 0, -1 25 9 -1 21 9 -1 20 8 -1 11 8 -1 10 9 -1 23 9 -1 24 3 -1 8 3 -1 0 14 -1 31 14 -1 31 12 -1 0 12 -1 22 11 -1 24 11 , 3 7 15 4 1 9 15 12 1 16 12 15 2 9 7 9 3, 358, request, 1 9 3 8 2 2 12 3 3 3 2 2 3 16 3 1 15 3 8 7 3 8 12 12 8 9 16 2 1 9
cgs_4de1592bc24b5, 0, -1 25 9 -1 21 9 -1 10 8 -1 11 8 -1 20 8 -1 8 9 -1 7 9 -1 6 9 -1 22 9 -1 23 9 -1 24 9 -1 21 5 -1 10 4 -1 9 9 , 1 8 9 1 2 15 16 7 16 15 8 16 12 1 16 8 7 3 8 12 2 2 15 1 15 12 8 16 8 9 4, 9 8 12 8 15 7 15 16 15 3 1 7 9 1 7 16 3 8 7 7 1 9 16 2 3 16, 22, request
