uid, timestamp, left army, gold won, towers, right army, type
cgs_4de59757b935b, 0, 2 2 2 1 1 1 1 1 2, -1 20 9 -1 21 9 -1 11 9 -1 10 9 , 182, 1 2 1 1 1 2 1 2 1 2 2, request
cgs_4de59757b935b, 0, 1 1 2 1 2 1 2 2 2 2, -1 20 9 -1 21 9 -1 11 9 -1 10 9 , 152, 2 1 2 2 1 1 1, request
cgs_4de59757b935b, 0, 2 2 1 2 2 1, -1 20 9 -1 11 9 -1 21 9 -1 10 11 , 130, 2 1 2 2 2 1 1 2 2, request
cgs_4de59757b935b, 0, 2 1 2 1 2 2 2 1, -1 20 9 -1 11 9 -1 21 9 -1 10 11 , 130, 2 2 2 1 2 1 2, request
cgs_4de59757b935b, 0, 1 2 2 2 2 1 2, -1 20 9 -1 11 9 -1 8 9 , 114, 1 2 2 2 1 1, request
cgs_4de58991aaf44, 0, -1 8 8 -1 25 8 -1 24 8 -1 27 12 -1 27 14 -1 27 16 -1 3 12 -1 11 6 -1 11 3 -1 11 0 -1 20 3 -1 20 6 -1 3 14 -1 3 16 -1 2 12 -1 2 13 -1 2 14 -1 2 15 -1 2 16 -1 2 17 -1 29 12 -1 29 13 -1 29 14 -1 29 15 -1 29 16 -1 29 17 -1 26 8 -1 6 8 -1 7 8 -1 10 0 -1 10 3 -1 21 3 -1 21 0 -1 20 0 -1 5 8 -1 4 8 -1 10 6 -1 27 8 -1 28 10 -1 23 8 -1 21 6 -1 22 4 -1 9 3 -1 2 10 -1 9 4 , 2 1018 1018 10 7 14 14 1017 7 2 1017 13 1 4 4 12 1018 1017 1017 1 15 12 7 5 1017 1018 1017 9 15 13 1017 14 1 13 9 13 1018 9 15 1 9 5 12 14 16 13 17 12 8 3 16 9 16 5 1 3 1018 10 16 12 8 1018 1018 10 17 15 15 13 1018 2 7 13 1017 14 1018 9 11 1 12 13 10 16 7 10 3 10 11, 17 3 9 10 14 14 1018 3 9 2 14 14 1017 8 9 2 16 7 12 17 10 16 4 16 4 3 1 3 2 15 1017 7 1 8 1018 1018 2 11 14 16 8 4 15 8 17 10 15 10 3 7 1018 8 1 1 3 3 2 5 1017 7 10 1017 13 4 16 4 13 3 1 1017 3 3 1 1017 15 8 1 4 10 11 10 7 1 17 12, request, 2418
cgs_4de58991aaf44, 0, -1 8 8 -1 25 8 -1 24 8 -1 27 12 -1 27 14 -1 27 16 -1 3 12 -1 11 6 -1 11 3 -1 11 0 -1 20 3 -1 20 6 -1 3 14 -1 3 16 -1 2 12 -1 2 13 -1 2 14 -1 2 15 -1 2 16 -1 2 17 -1 29 12 -1 29 13 -1 29 14 -1 29 15 -1 29 16 -1 29 17 -1 26 8 -1 6 8 -1 7 8 -1 10 0 -1 10 3 -1 21 3 -1 21 0 -1 20 0 -1 5 8 -1 2 10 -1 4 8 -1 10 6 -1 27 8 -1 28 10 -1 23 8 -1 21 6 -1 22 4 -1 9 4 -1 9 3 , 9 14 8 13 3 1017 3 10 13 1 1 14 17 3 1018 5 12 7 7 1018 3 15 1018 12 9 1018 2 5 5 16 4 16 4 1 8 13 1018 1017 15 14 10 1 13 8 12 12 12 1 16 1 15 15 8 9 2 1017 7 10 7 17 4 13 13 11 10 7 8 14 1018 9 1018 9 16 16 4 14, 16 2 3 2 4 15 7 10 7 15 9 9 16 4 2 3 12 4 1018 4 2 5 8 11 9 16 1018 11 5 16 1017 11 15 10 14 4 4 3 3 1018 1018 7 1018 8 13 13 1 1 5 17 12 1 1017 4 13 5 4 5 10 3 16 7 3 7 9 1018 5 1018 14 16 5 1017 1 17 8 1 2 1 10 14 3 4 3 1 9, request, 2265
cgs_4de58991aaf44, 0, -1 8 8 -1 25 8 -1 24 8 -1 28 8 -1 27 12 -1 27 14 -1 27 16 -1 3 12 -1 11 6 -1 11 3 -1 11 0 -1 20 3 -1 20 6 -1 3 14 -1 3 16 -1 2 12 -1 2 13 -1 2 14 -1 2 15 -1 2 16 -1 2 17 -1 29 12 -1 29 13 -1 29 14 -1 29 15 -1 29 16 -1 29 17 -1 26 8 -1 6 8 -1 7 8 -1 21 6 -1 27 8 -1 10 0 -1 10 3 -1 21 3 -1 21 0 -1 20 0 -1 22 4 -1 5 8 -1 29 10 -1 2 10 -1 4 8 -1 10 6 -1 9 4 , 2 16 8 16 7 1 7 15 10 8 4 12 3 2 14 3 13 2 9 5 5 14 15 3 1018 2 8 13 15 13 12 12 1 16 1018 15 13 1 15 9 16 5 12 10 11 10 8 5 16 16 13 3 11 17 12 1017 2 1 7 13 1 14 11 3 8 5 12 5 16 10 8 10 10 9 12 1017 13 14 15 15 15 5 14 8 9, 4 17 13 16 10 14 7 2 12 5 1018 9 16 15 4 5 2 2 1 14 2 4 2 16 5 12 5 1 12 10 15 2 5 2 12 7 7 1 5 9 5 2 1 15 10 16 3 12 5 1 1 10 14 1 3 3 4 5 4 17 3 2 7 11 3 17 7 7 17 10 8 12 13 16 14 5 1018 2 13 3 1017 10 4 17 10 1018 11 5 9 16 10 5 2, request, 2464
cgs_4de58991aaf44, 0, -1 8 8 -1 25 8 -1 24 8 -1 23 8 -1 27 12 -1 27 14 -1 27 16 -1 3 12 -1 11 6 -1 11 3 -1 11 0 -1 20 3 -1 20 6 -1 3 14 -1 3 16 -1 2 12 -1 2 13 -1 2 14 -1 2 15 -1 2 16 -1 2 17 -1 29 12 -1 29 13 -1 29 14 -1 29 15 -1 29 16 -1 29 17 -1 26 8 -1 6 8 -1 7 8 -1 10 6 -1 21 6 -1 28 10 -1 27 8 -1 4 8 -1 5 8 -1 10 0 -1 10 3 -1 21 3 -1 21 0 -1 22 4 -1 9 4 -1 2 10 -1 20 0 -1 29 0 -1 29 1 -1 29 2 , 13 1017 10 14 10 17 12 2 12 13 9 5 7 14 1 14 16 17 1 13 7 2 4 1 9 1017 16 11 8 11 10 10 2 9 2 1018 12 10 15 8 17 1018 9 1 9 14 12 13 12 16 9 3 15 7 9 15 15 10 16 1 14 16 12 15 16 15 10 12 1 8 1 1 3 12 9 5 15 11 2 2 5 3 16 15 3, 10 8 9 13 7 3 1017 4 4 1 5 10 16 5 4 3 13 14 4 16 1017 5 4 8 7 3 2 14 4 3 15 1 8 12 5 12 8 15 9 14 7 5 12 12 15 3 17 1 2 7 2 16 1017 12 4 16 3 9 15 13 9 3 9 16 13 1017 14 3 8 1017 14 10 1017 16 9 8 13 8 2 1 7 1017 3 5 15 1 12 12 7 13 5 15 1 15 16, request, 2362
cgs_4de58991aaf44, 0, -1 8 8 -1 25 8 -1 24 8 -1 23 8 -1 27 12 -1 27 14 -1 27 16 -1 3 12 -1 11 6 -1 11 3 -1 11 0 -1 20 0 -1 20 3 -1 20 6 -1 3 14 -1 3 16 -1 2 12 -1 2 13 -1 2 14 -1 2 15 -1 2 16 -1 2 17 -1 29 12 -1 29 13 -1 29 14 -1 29 15 -1 29 16 -1 29 17 -1 26 8 -1 6 8 -1 7 8 -1 10 6 -1 21 6 -1 28 10 -1 27 8 -1 4 8 -1 5 8 -1 2 10 -1 10 0 -1 10 3 -1 21 3 -1 21 0 -1 22 4 -1 9 4 -1 23 4 , 4 1017 13 14 14 7 8 5 4 3 8 5 5 11 11 8 4 1017 9 16 7 14 14 10 1018 7 1 1017 14 2 15 10 15 8 14 1017 5 11 9 14 15 10 10 16 5 12 17 10 7 1017 13 8 10 16 2 16 9 1 16 8 10 8 1018 13 5 4 3 3 12 10 2 14 10 16 5 7 15 1018 5 1017 1017 10 8 1017 1017 1018 7 13 9 14, 1017 10 16 16 1017 1 14 1017 13 12 8 1 1 1 1 12 7 16 13 7 1018 15 7 7 2 7 11 5 1 9 10 1 10 9 14 7 10 12 15 1018 13 2 12 1017 8 13 4 1017 1 4 1018 16 14 15 14 13 11 1 9 12 15 14 4 1017 15 1018 8 10 1 11 12 12 15 2 3 9 14 12 15 3, request, 2380
cgs_4de58991aaf44, 0, -1 8 8 -1 25 8 -1 24 8 -1 23 8 -1 27 12 -1 27 14 -1 27 16 -1 3 12 -1 11 6 -1 11 3 -1 11 0 -1 20 0 -1 20 3 -1 20 6 -1 3 14 -1 3 16 -1 2 12 -1 2 13 -1 2 14 -1 2 15 -1 2 16 -1 2 17 -1 29 12 -1 29 13 -1 29 14 -1 29 15 -1 29 16 -1 29 17 -1 26 8 -1 6 8 -1 7 8 -1 10 0 -1 10 3 -1 10 6 -1 21 6 -1 28 10 -1 27 8 -1 4 8 -1 5 8 -1 21 3 -1 21 0 -1 23 3 -1 2 10 -1 8 3 , 5 12 9 13 3 2 11 4 2 1 3 15 4 9 8 13 1 14 15 4 3 1 2 9 17 9 16 11 10 1018 8 14 12 11 5 4 5 12 8 16 10 9 15 1 9 15 3 1 9 10 9 16 12 10 15 12 1 11 1 14 14 7 3 13 13 4 12 9 1 4 1 2, 11 13 4 2 1017 16 7 15 2 7 7 11 3 1017 7 17 9 16 16 2 15 2 9 13 4 8 2 8 1018 4 14 4 11 3 10 1017 8 5 1018 12 17 13 5 2 1018 5 3 5 10 9 1 9 12 1018 5 4 1018 14 2 1017 3 17 14 14 3 7 10 17 16 10 4 16 7 7 1018 10 2, request, 2036
cgs_4de58991aaf44, 0, -1 8 8 -1 25 8 -1 24 8 -1 23 8 -1 27 12 -1 27 14 -1 27 16 -1 3 12 -1 11 6 -1 11 3 -1 11 0 -1 20 0 -1 20 3 -1 20 6 -1 3 14 -1 3 16 -1 2 12 -1 2 13 -1 2 14 -1 2 15 -1 2 16 -1 2 17 -1 29 12 -1 29 13 -1 29 14 -1 29 15 -1 29 16 -1 29 17 -1 26 8 -1 6 8 -1 7 8 -1 10 0 -1 10 3 -1 10 6 -1 21 6 -1 28 10 -1 27 8 -1 4 8 -1 5 8 -1 21 3 -1 21 0 -1 23 3 -1 2 10 -1 8 3 , 1 2 17 8 13 1018 1018 16 17 4 4 1 4 4 17 14 3 1 10 7 13 15 5 16 9 11 9 14 1 16 15 17 10 9 12 8 16 9 1 15 1018 5 14 7 1 3 7 16 1017 13 14 16 1017 8 15 5 1018 4 11 9 3 9 3 3 15 1017 12 2 17 17 8 14 9 15 16 1017 12 13 3, 10 1017 13 7 15 4 10 12 1017 2 4 2 13 14 7 14 15 15 9 16 17 13 9 3 1018 2 2 9 8 1018 5 10 7 12 5 5 2 15 2 13 8 1017 1 16 3 1 8 12 1 8 2 15 10 14 3 2 1018 12 1018 13 8 3 10 10 1 13 16 3 16 1 1017 11 14 9 1017 13 1, request, 2079
cgs_4de1902758d6f, 0, 1017 16 12 13 4 12 16 9 5 14 10 4 12 3 3 12 3 9 1017 12 4 3 1018 5 5 9 10 1 12 14 14 2 1 2 1018 16 14 2 13 4 8 12 10 14 4 7 2 16 9 15 10 8 14 14 8 1017 2 15 9 9 2 3 1018 15 2 10 9 13 1 4 3 13 16 5 13 7 9 12 3 9 12 12 17 12 7 3 17 3 5 10 8 12 15 4 9 3 7 17, 2857, -1 6 10 -1 8 8 -1 26 10 -1 24 10 -1 9 8 -1 23 8 -1 27 10 -1 10 12 -1 22 8 -1 10 14 -1 10 16 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 6 -1 11 0 -1 20 0 -1 20 6 -1 21 8 -1 22 4 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 16 -1 9 17 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 21 4 -1 11 11 -1 2 4 -1 2 1 -1 8 1 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 3 7 -1 27 8 -1 29 6 -1 2 6 -1 24 3 -1 4 3 -1 6 7 -1 24 6 -1 4 0 -1 8 6 -1 28 6 -1 6 10 -1 24 10 -1 26 10 -1 23 8 -1 8 8 -1 9 8 -1 27 10 -1 10 12 -1 22 8 -1 10 14 -1 10 16 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 20 0 -1 11 6 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 10 4 -1 22 12 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 3 7 -1 27 8 -1 2 6 -1 29 6 -1 24 3 -1 24 6 -1 4 3 -1 6 7 -1 4 0 -1 8 6 -1 28 6 , 14 17 16 3 1017 10 2 2 8 1 14 7 4 10 3 5 16 7 2 5 13 10 2 2 10 8 16 9 1 1017 2 3 9 1 1018 1017 10 15 10 13 4 3 7 4 12 1018 15 7 13 1018 1017 5 16 2 10 16 10 4 1018 1017 4 7 14 3 16 7 7 2 8 12 2 9 5 4 8 13 2 17 1018 8 8 13 16 2 5 16 9 1017 1017 14 12 10 14 14 2 8 17 7 3 1 15 10 2 12 11 2 3 3 4 8 13, request
cgs_4de1902758d6f, 0, -1 6 10 -1 8 8 -1 24 10 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 22 8 -1 10 14 -1 10 16 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 6 -1 11 0 -1 20 0 -1 20 6 -1 21 8 -1 22 4 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 16 -1 9 17 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 21 4 -1 11 11 -1 2 4 -1 2 1 -1 8 1 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 29 6 -1 2 6 -1 24 3 -1 4 3 -1 6 7 -1 24 6 -1 4 0 -1 8 6 -1 28 6 -1 6 10 -1 24 10 -1 26 10 -1 8 8 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 22 8 -1 10 16 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 20 0 -1 11 6 -1 20 6 -1 22 4 -1 11 3 -1 21 8 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 29 4 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 24 6 -1 4 3 -1 6 7 -1 4 0 -1 8 6 -1 28 6 , 17 16 13 5 8 7 14 3 1 3 1017 8 12 9 15 14 1018 10 14 5 4 7 2 11 1018 12 7 4 13 3 8 15 12 13 1017 4 3 5 2 1 1017 5 3 10 15 11 5 15 3 7 1017 14 11 2 3 5 7 10 1 1 2 14 13 12 5 11 3 1 3 15 10 8 8 14 1 9 2 1018 7 3 7 10 1018 16 10 9 14 15 1018 16 15 1018 8 1018 2 9 7 3 13 10 1018 13 1017, 3014, request, 9 3 15 10 1017 13 1018 2 13 2 15 1018 15 1 4 5 14 7 15 16 9 4 1017 13 7 4 1 14 11 8 2 7 15 3 4 11 12 2 5 1018 14 5 7 1017 16 1018 16 14 1017 12 1018 15 8 11 2 15 15 16 11 16 4 8 9 12 10 4 12 4 1017 7 1 4 12 14 11 8 1018 13 13 1017 5 7 16 11 9 7 7 13 1 14 7 1017 1 3 15 4 8 7 5 12 2 1018 13 3 16 14 16 3 1017 4 16 1 1017 9 17 1
cgs_4de58991aaf44, 0, -1 8 8 -1 25 8 -1 24 8 -1 23 8 -1 27 12 -1 27 14 -1 27 16 -1 3 12 -1 11 6 -1 11 3 -1 11 0 -1 20 0 -1 20 3 -1 20 6 -1 3 14 -1 3 16 -1 2 12 -1 2 13 -1 2 14 -1 2 15 -1 2 16 -1 2 17 -1 29 12 -1 29 13 -1 29 14 -1 29 15 -1 29 16 -1 29 17 -1 26 8 -1 27 8 -1 29 11 -1 28 11 -1 2 11 -1 3 11 -1 4 8 -1 5 8 -1 6 8 -1 7 8 -1 21 0 -1 10 0 -1 10 3 -1 21 3 -1 10 6 -1 21 6 -1 22 2 -1 9 2 -1 22 4 , 15 17 5 15 8 14 1 10 1017 1 9 8 10 4 15 1 5 11 3 3 3 15 11 1 1 13 1017 7 1 16 11 8 10 7 14 8 8 1018 4 9 3 1018 4 11 3 2 4 7 1017 1018 2 7 2 14 7 9 3 13 16 2 2 4 1017 14 10 8 13 16 3 14 15 14 14 2 2 2 12 9 10 10 1 15 11 1 2 14 1 10 4 16 15 12 14 1018 2 10 10, 15 12 8 3 2 7 1017 2 15 10 1017 1 2 4 11 7 5 9 17 15 4 13 14 16 8 8 14 1018 15 2 7 1 8 1 16 4 15 11 9 1017 17 10 13 16 12 1018 13 5 13 10 16 9 16 1018 7 13 17 1017 9 1 8 12 15 16 1018 14 7 4 15 13 1018 13 14 4 12 2 13 1018 2 16 1 7 10 13 1017 8 8 4 3 12 9, request, 2520
cgs_4de577ba7afda, 0, -1 26 9 -1 25 8 -1 6 8 -1 24 8 -1 7 8 -1 2 12 -1 2 14 -1 2 16 -1 29 12 -1 29 14 -1 29 16 -1 8 8 -1 9 0 -1 9 4 -1 5 9 -1 23 4 -1 23 0 -1 4 9 -1 27 9 -1 3 11 -1 2 11 -1 28 11 -1 29 11 , request, 1 1 16 14 5 4 9 17 3 4 8 8 9 5 4 17 17 16 9 14 7 4 5 1 5 17 13 1 14 1 5 5 5 17, 1024, 12 13 2 12 3 7 12 17 1 2 4 9 17 5 3 3 7 9 3 15 1 14 7 14 7 4 13 5 12 17 2 12 2 8 3 14 5 9 8 2 1 3 8
cgs_4de577ba7afda, 0, -1 26 9 -1 25 8 -1 6 8 -1 24 8 -1 7 8 -1 2 12 -1 2 14 -1 2 16 -1 29 12 -1 29 14 -1 29 16 -1 8 8 -1 9 0 -1 9 4 -1 27 9 -1 2 11 -1 3 11 -1 4 9 -1 5 9 -1 28 11 -1 29 11 -1 23 4 -1 23 0 -1 29 1 -1 29 4 , request, 2 5 8 3 15 3 17 16 5 4 1 5 3 3 2 3 1 8 3 14 12 13 16 13 12 7 17 13 13 8 16 14 16 16, 893, 8 13 12 3 7 9 2 4 12 5 14 3 9 16 9 9 17 7 13 14 1 14 7 9 8 4 15 13 13 7 9 12 14 7 7 12 7 13
cgs_4de577ba7afda, 0, -1 26 9 -1 25 8 -1 5 9 -1 6 8 -1 24 8 -1 7 8 -1 2 12 -1 2 14 -1 2 16 -1 29 12 -1 29 14 -1 29 16 -1 8 8 -1 7 0 -1 7 4 -1 23 0 -1 28 11 -1 27 9 -1 4 9 -1 3 11 -1 2 11 -1 29 11 -1 23 4 , request, 2 12 12 1 8 14 1 8 12 8 5 16 5 2 2 5 5 14 7 14 8 1 3 7 13 9 5 14 3 2 5 3 12 9 13 13 8 1 15, 964, 2 7 3 4 3 13 17 9 9 4 3 9 1 2 16 14 4 9 9 3 9 2 5 2 13 9 15 3 3 8 1 8 9 3 12 16 13 4 15 16 4
cgs_4de53e0aa4974, 0, 2 1 1 4 8 2 1 3 3 8 3 2 4 2 8 2, -1 24 9 -1 6 9 -1 22 11 -1 26 11 -1 2 11 -1 4 10 -1 3 10 -1 25 10 -1 28 11 -1 5 11 -1 20 11 , 275, request, 3 2 2 3 2 1 4 3
